talker	consonant	CV-transition-time
eng-m2	k-1	0.018421516754850088
eng-m2	k-2	0.027645502645502643
eng-m2	k-aspirated-0	0.09769614512471655
eng-m2	k-aspirated-1	0.10731641374498518
eng-m2	k-aspirated-2	0.0987780297304107
eng-m2	l-0	0.09273620559334846
eng-m2	l-1	0.07614409400123687
eng-m2	l-2	0.08472222222222223
eng-m2	m-0	0.09538235984048793
eng-m2	m-1	0.09201290772719345
eng-m2	m-2	0.10002743032696951
eng-m2	n-0	0.09198412698412699
eng-m2	n-1	0.08218367346938776
eng-m2	n-2	0.11654950869236584
eng-m2	p-0	0.022462261094914157
eng-m2	p-1	0.03889739229024943
eng-m2	p-2	0.014508110936682365
eng-m2	p-aspirated-0	0.07890956382553023
eng-m2	p-aspirated-1	0.07339317208364828
eng-m2	p-aspirated-2	0.0603869992441421
eng-m2	r-turned-0	0.11976088943039903
eng-m2	r-turned-1	0.11566311209168353
eng-m2	r-turned-2	0.1292838246409675
eng-m2	s-0	0.1813718820861678
eng-m2	s-1	0.15247921390778535
eng-m2	s-2	0.17988662131519276
eng-m2	t-0	0.016247165532879818
eng-m2	t-1	0.016247165532879818
eng-m2	t-2	0.020782312925170066
eng-m2	t-aspirated-0	0.0793983614951357
eng-m2	t-aspirated-1	0.08387269193391644
eng-m2	t-aspirated-2	0.0797226001511716
eng-m2	tesh-0	0.05773620559334845
eng-m2	tesh-1	0.05445891000078192
eng-m2	tesh-2	0.07441240264221631
eng-m2	tesh-aspirated-0	0.11165343915343917
eng-m2	tesh-aspirated-1	0.13669420149011988
eng-m2	tesh-aspirated-2	0.107562358276644
eng-m2	theta-0	0.11593686597445997
eng-m2	theta-1	0.07492441421012849
eng-m2	theta-2	0.14058427815570673
eng-m2	v-0	0.11025105280207322
eng-m2	v-1	0.0905026455026455
eng-m2	v-2	0.14139455782312926
eng-m2	w-0	0.10291245791245791
eng-m2	w-1	0.09278155706727137
eng-m2	w-2	0.11236755308183881
eng-m2	z-0	0.13612787143843044
eng-m2	z-1	0.12404851414249912
eng-m2	z-2	0.13033527696793004
hin-m	b-breathy	0.07045077801235437
hin-m	b	0.12462423064463882
hin-m	d-dental-breathy	0.07131606488749347
hin-m	d-dental	0.036561082766439906
hin-m	d-retroflex-breathy	0.07173280423280425
hin-m	d-retroflex	0.06794171722743152
hin-m	dezh-breathy	0.10249919015225138
hin-m	dezh	0.11266439909297053
hin-m	esh	0.11926303854875284
hin-m	f	0.10366826009683153
hin-m	g-breathy	0.06304920973364471
hin-m	g	0.07690566893424036
hin-m	h	0.09613693625598388
hin-m	j	0.11885302420287844
hin-m	k-aspirated	0.09818898291023727
hin-m	k	0.02799668585382871
hin-m	l	0.10197940287226002
hin-m	m	0.09886621315192745
hin-m	n	0.09414098972922504
hin-m	nu	0.1042624418188328
hin-m	p	0.01446485260770975
hin-m	r	0.12278231292517008
hin-m	s-retroflex	0.1392957923910305
hin-m	s	0.12526563006154845
hin-m	t-dental-aspirated	0.08723022542350274
hin-m	t-dental	0.019546775975347402
hin-m	t-retroflex-aspirated	0.08654195011337869
hin-m	t-retroflex	0.012109977324263037
hin-m	tesh-aspirated	0.09078812721669866
hin-m	tesh	0.051783496007098494
hun-f	b	0.18636054421768708
hun-f	c-aspirated	0.1259590502867814
hun-f	d-dental	0.14940071266601881
hun-f	dezh	0.23524704618689582
hun-f	dz	0.2427918367346939
hun-f	esh	0.20055201247165533
hun-f	ezh	0.1944919555123637
hun-f	f	0.20872008062484254
hun-f	g	0.13888133030990174
hun-f	h	0.14787981859410432
hun-f	j-bar	0.14770731077241026
